,db_id,db_name,dtype,ctype,country,path,group,desc,n_mel,source
63,63,chey,kern,Folk,United States of America,Native_American/Densmore/cheyenne_and_arapaho,NatAm,Songs and ballads from the Cheyenne and Arapaho people,72,Densmore
64,64,chp1,kern,Folk,United States of America,Native_American/Densmore/chippewa1,NatAm,Songs and ballads from the Chippewa people,186,Densmore
65,65,chp2,kern,Folk,United States of America,Native_American/Densmore/chippewa2,NatAm,Songs and ballads from the Chippewa people,179,Densmore
66,66,choc,kern,Folk,United States of America,Native_American/Densmore/choctaw,NatAm,Songs and ballads from the Choctaw people,68,Densmore
67,67,maid,kern,Folk,United States of America,Native_American/Densmore/maidu,NatAm,Songs and ballads from the Maidu people,53,Densmore
68,68,mand,kern,Folk,United States of America,Native_American/Densmore/mandan,NatAm,Songs and ballads from the Mandan people,73,Densmore
69,69,meno,kern,Folk,United States of America,Native_American/Densmore/menominee,NatAm,Songs and ballads from the Menominee people,144,Densmore
70,70,noot,kern,Folk,United States of America,Native_American/Densmore/nootka,NatAm,Songs and ballads from the Nootka and Quileute people,132,Densmore
71,71,nute,kern,Folk,United States of America,Native_American/Densmore/northern_ute,NatAm,Songs and ballads from the Northern Ute people,116,Densmore
72,72,papa,kern,Folk,United States of America,Native_American/Densmore/papago,NatAm,Songs and ballads from the Tohono O'odham people,168,Densmore
73,73,semi,kern,Folk,United States of America,Native_American/Densmore/seminole,NatAm,Songs and ballads from the Seminole people,247,Densmore
74,74,yuma,kern,Folk,United States of America,Native_American/Densmore/yuman,NatAm,Songs and ballads from the Yuman people,134,Densmore
75,75,afr1,midi,Folk,South Africa,africa_n44_Eerola2006_midi/,Africa,Collection of songs from two books covering multiple ethnic groups,90,South Africa
76,76,lied,midi,Art,Western,Lieder/scores,Europe,Taken from Lieder corpus of Western classical songs,247,Lieder
77,77,abra,midi,Art,German,"Lieder/scores/Cornelius,_Peter",Europe,Taken from Lieder corpus of Western classical songs,90,Lieder
78,78,burl,midi,Art,German,"Lieder/scores/Schröter,_Corona",Europe,Taken from Lieder corpus of Western classical songs,25,Lieder
79,79,parr,midi,Art,German,"Lieder/scores/Franz,_Robert",Europe,Taken from Lieder corpus of Western classical songs,28,Lieder
80,80,butt,midi,Art,British,"Lieder/scores/Warlock,_Peter",Europe,Taken from Lieder corpus of Western classical songs,22,Lieder
81,81,warl,midi,Art,German,"Lieder/scores/Faisst,_Clara_Mathilda",Europe,Taken from Lieder corpus of Western classical songs,26,Lieder
82,82,phil,midi,Art,Austrian,"Lieder/scores/Wolf,_Hugo",Europe,Taken from Lieder corpus of Western classical songs,22,Lieder
83,83,kral,midi,Art,German,"Lieder/scores/Reichardt,_Louise",Europe,Taken from Lieder corpus of Western classical songs,43,Lieder
84,84,reic,midi,Art,German,"Lieder/scores/Brahms,_Johannes",Europe,Taken from Lieder corpus of Western classical songs,104,Lieder
85,85,free,midi,Art,Austrian,"Lieder/scores/Schubert,_Franz",Europe,Taken from Lieder corpus of Western classical songs,82,Lieder
86,86,brid,midi,Art,French,"Lieder/scores/Viardot,_Pauline",Europe,Taken from Lieder corpus of Western classical songs,21,Lieder
87,87,thys,midi,Art,French,"Lieder/scores/Holmès,_Augusta_Mary_Anne",Europe,Taken from Lieder corpus of Western classical songs,73,Lieder
88,88,jaël,midi,Art,French,"Lieder/scores/Chaminade,_Cécile",Europe,Taken from Lieder corpus of Western classical songs,31,Lieder
